Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.3129307134357029,42.7009,0.2585948714843163,50.4820
1,0.2828349985657949,46.9953,0.248208621602792,52.0860
2,0.2760381301879311,48.0305,0.24971346280131584,51.9160
3,0.2723969616623403,48.5830,0.25264119387437134,52.3120
4,0.269984727833509,48.9416,0.2450350977289371,52.4700
5,0.2687454776906719,49.1761,0.2436590412679391,53.0840
6,0.24741237586832557,52.3659,0.22039479225491865,56.5080
7,0.24429515700012025,52.7470,0.21906820761087614,56.8180
8,0.24296696848690194,53.0453,0.21970111517569957,56.5620
9,0.24261258140121478,53.1207,0.2171630421319069,57.0100
10,0.24223772756988346,53.1449,0.22125661201201952,56.1040
11,0.23620084134601477,54.1600,0.21268156298842186,57.6740
12,0.2345385842701929,54.3931,0.21134356416952915,58.1360
13,0.233896062812768,54.5526,0.21088781125652484,58.2260
14,0.23364980142901906,54.6113,0.20961622255734907,58.2580
15,0.23291971758030336,54.6800,0.211510530878336,58.0060
16,0.23214193562674515,54.7943,0.20952677006522816,58.3160
17,0.23171691147493118,54.9162,0.2082030677451537,58.7360
18,0.23160523614042325,54.9671,0.20853111440172561,58.6320
19,0.23148053629329982,54.9760,0.20843641186753908,58.5880
