Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.18775303170824875,61.9190,0.1594740394025277,65.5700
1,0.17973851258371937,62.7672,0.16338256601339732,65.7300
2,0.17758521248868134,63.0163,0.1589904122818739,65.7640
3,0.17596327297881548,63.2190,0.17085109576582908,66.0580
4,0.17495654592451867,63.3497,0.1599386747639913,65.8220
5,0.17441857697955615,63.4209,0.163855004711793,65.7060
6,0.16775335133960048,64.0576,0.1541528440056703,66.7420
7,0.16709155053531555,64.1309,0.1490046710540087,66.5980
8,0.16695941783668683,64.1787,0.15151324909275923,66.6020
9,0.1667597199495123,64.2327,0.15282463766634463,66.6580
10,0.16648133540873475,64.2590,0.15170534781347483,66.6320
11,0.16512160579118354,64.3652,0.14832425675331018,66.9300
12,0.16498489797826962,64.4044,0.14837694584559172,66.7880
13,0.16482137889339918,64.4579,0.15054942552859968,66.8200
14,0.16449420310044005,64.4242,0.14971898473226108,67.0140
15,0.16470359335255702,64.4482,0.14809300172596407,66.8380
16,0.16411046526350215,64.5792,0.14916764198778532,66.8440
17,0.16444445457705872,64.4808,0.14868723411972706,66.8680
18,0.16433051054187559,64.5143,0.14992100840959793,66.9000
19,0.16414054110832346,64.4885,0.14858136306970549,66.8960
