Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.24632799652939089,52.8293,0.2050720950922905,58.5440
1,0.22656326093883564,55.7279,0.20365992119679086,59.3040
2,0.2211161131359907,56.6073,0.19825798171835068,60.2820
3,0.21795538964656483,57.0625,0.19692437398510101,60.2000
4,0.21662348769519554,57.1882,0.20237966286830414,60.3040
5,0.21574094099668084,57.3216,0.1966866253469235,60.9100
6,0.20268954991258123,59.2560,0.18013002612651924,62.7960
7,0.20065195185402818,59.5846,0.17975966301866067,62.7540
8,0.20002219947690503,59.6654,0.17978618630231955,62.7520
9,0.19964726205674402,59.7910,0.1812423665363055,62.7800
10,0.19958768242787547,59.7761,0.18032743762700987,62.6320
11,0.1960689763301545,60.3467,0.17892768264580997,63.3800
12,0.19539885308814223,60.4671,0.17686084059950632,63.4500
13,0.1949088170860945,60.5731,0.17533703404359327,63.6160
14,0.19490622252580206,60.5251,0.17599143240696344,63.5960
15,0.19454905625221697,60.6371,0.17713451265142513,63.3760
16,0.19405619012825925,60.6976,0.175367380774174,63.6960
17,0.19398588096807262,60.6851,0.17424537585331842,63.7040
18,0.19376581049886113,60.7196,0.17492782731468862,63.8860
19,0.1937892314410255,60.7221,0.17431402538831417,63.7640
