Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.08480224571166894,90.2040,0.07920086584412135,88.5600
1,0.04685124146441619,95.8440,0.07784891849718033,89.5700
2,0.04277817924053241,96.4400,0.07016472026514702,89.7700
3,0.039785539526014754,96.8000,0.06624402731465988,90.3100
4,0.03868302138378987,97.0700,0.06367701487854505,90.8000
5,0.037989440627205065,97.1360,0.06545081414664403,90.3400
6,0.03740693368495275,97.2540,0.06387336518711005,90.4200
7,0.03749735282304195,97.3080,0.06616714993157448,90.3200
8,0.03616402138215609,97.4740,0.06126629479993612,91.
9,0.035710629935447984,97.4420,0.061908772692848474,90.5900
10,0.03538932417734311,97.5900,0.06085855852908049,90.6400
11,0.03514853527721686,97.5880,0.060513548887310885,91.0400
12,0.035268879872866164,97.5520,0.06137150129637657,91.0800
13,0.03462623936625627,97.6060,0.062180899895536594,90.8100
14,0.034926953692084706,97.5340,0.06297488009127286,90.9200
15,0.03466024626141939,97.5480,0.059479172222125225,91.2700
16,0.031418706758473164,98.0600,0.05737972216537365,91.3600
17,0.03107593775464174,98.0160,0.05728466044633816,91.2700
18,0.03091460760587301,97.9960,0.05729801594637907,91.2000
19,0.030545767229528,98.0160,0.056216829719069675,91.6800
20,0.030522816088528207,98.2060,0.05647260213318544,91.5700
21,0.030892152936221697,98.0340,0.056054503442003176,91.5300
22,0.03020991285641988,98.2080,0.056046235446746535,91.6100
23,0.030204304603812022,98.2020,0.0562562203178039,91.3700
24,0.029983489110301704,98.2540,0.05704921765778309,91.4300
25,0.03024436437453215,98.1460,0.055371809273194045,91.7400
26,0.030028065881476954,98.2660,0.055995324053443395,91.7400
27,0.029809534931794193,98.2300,0.05620529598150498,91.5200
28,0.029859526741963165,98.2800,0.054923643955053426,91.6300
29,0.02995796497338093,98.1640,0.05661412887275219,91.4800
