Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.2511162260404,57.9700,0.21787928465085152,63.8800
1,0.18766960616295153,68.4020,0.1957912009495955,66.7100
2,0.17550270985334349,70.7640,0.19190790160344198,68.0300
3,0.1681136856476466,71.8860,0.1861852418917876,69.7900
4,0.16500742637958282,72.5000,0.17758984730029717,70.2200
5,0.16164255440235137,73.4240,0.17987425701740462,69.4600
6,0.15970624070136974,73.6440,0.18577595972097838,68.9700
7,0.1583660960961611,73.8780,0.1686845391224592,72.1200
8,0.15667306230618402,73.9420,0.17487862591560072,71.3900
9,0.15335590984576788,74.4840,0.1676825212362485,72.2900
10,0.15315051315686642,74.6820,0.17011788621162757,71.9600
11,0.15183808360344325,74.9100,0.17004739588651901,72.3900
12,0.14930177143751047,75.2580,0.16818650448933625,72.5000
13,0.14873470694590837,75.6600,0.16807465102428046,71.8600
14,0.14883656146434637,75.4340,0.1652910434282743,72.6000
15,0.14653315517382745,75.7920,0.1663789573388222,73.1700
16,0.13985636402399113,77.2220,0.1600127820021067,73.5500
17,0.1388609025722895,77.2160,0.15750284569385725,73.9800
18,0.13666509267611382,77.8700,0.15620237932755396,74.1100
19,0.1368721850025348,77.6320,0.155120499814168,74.3700
0,0.3104797126390995,38.1820,0.22134434068814302,61.7700
1,0.19755026423014127,66.3620,0.1961779223802762,67.4400
2,0.17825786807598212,69.7660,0.186476129369858,68.8800
3,0.1716329132135098,71.0840,0.1928103696077298,68.3400
4,0.164944500877307,72.5060,0.17817604274321824,70.2500
5,0.16046302288006514,73.1500,0.18199918667475382,69.9400
6,0.1609972298145294,73.1460,0.17950753370920816,70.8000
7,0.15778326285191072,73.9160,0.1752632546883363,70.6400
8,0.15580654320044396,73.9620,0.17353192926981512,71.2300
9,0.1552148148799554,73.9380,0.1681954501531063,72.1700
10,0.15428416958222022,74.3420,0.17154574814515236,71.8000
11,0.15099341456706708,75.0100,0.1779812421554174,70.6400
12,0.1519811574465189,74.7740,0.171761732452955,71.2300
13,0.15141225518324436,74.9880,0.1713118728918907,71.4700
14,0.1481126327163134,75.5940,0.16260416767536065,73.0300
15,0.1482525525566859,75.4960,0.16711645898146507,71.9700
16,0.14054233397428806,77.1380,0.1580021641193292,74.0900
17,0.13982373380508178,76.8400,0.1549732348857782,74.6400
18,0.13735570307725514,77.5880,0.155624960286495,73.9700
19,0.1376674602046991,77.2680,0.1572567621866862,73.7000
