Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.14095554707142022,78.8940,0.13027413160755083,80.3800
1,0.09576306851246418,86.4980,0.11506610201337399,82.2700
2,0.08748435091513854,88.0120,0.11334778836522347,82.2100
3,0.08392265408467024,88.4440,0.10805871996742028,83.1700
4,0.08066746553358359,88.8880,0.1090488449121133,83.0600
5,0.0799789843459924,89.1140,0.0995753294764421,84.5500
6,0.07926501272580562,89.3160,0.10342082199759972,84.0400
7,0.07764654182470762,89.5780,0.10112565755844116,84.4700
8,0.07629794306479967,89.7880,0.10001894516440538,84.4900
9,0.07581373520004443,89.8360,0.10331425939997037,84.2700
10,0.07487841317286859,89.9700,0.10016517283824775,84.6100
11,0.07521760110289623,90.0040,0.10176787592279606,84.4700
12,0.07458394530874032,89.9240,0.10038800365649737,84.2200
13,0.0745320966706062,90.1220,0.09831256409868216,84.5600
14,0.07349704223183486,90.2420,0.1003052063095264,84.7300
15,0.07327900793498908,90.3200,0.09714499244896266,84.7400
16,0.06771265425934242,91.1420,0.09066384228376242,85.8100
17,0.06664217020838689,91.2680,0.09083000030846168,85.9000
18,0.06561135936241884,91.5600,0.0918241588351054,85.7100
19,0.0653688679711941,91.5600,0.0917422639635893,85.7100
